['415', 'M007', 'K639', '3040', '012']
['415', 'M011', '8446', 'L171', '001']
['415', 'CS009', ['4888', '5468'], 'Y734', '027']
['415', 'CS005', '7368', 'D459', '023']
['415', 'CS009', ['4888', '5468'], 'Y734', '027']
['415', 'M012', '7368', 'D459', '023']
['415', 'CS001', '4642', 'T594', '027']
['415', 'M006', '2798', 'H960', '011']
['415', 'M102', '3492', 'I291', '015']
['416', 'M104', '6265', 'J153', '022']
['416', 'CS102', '2938', 'J736', '002']
['416', 'M011', 'K483', '4389', '003']
['416', 'CS010', '8998', 'G376', '012']
['416', 'M011', '4878', 'H263', '026']
['416', 'CS005', 'Z652', '5095', '024']
['416', 'M002', 'T594', '4642', '027']
['416', 'M101', '9318', 'G378', '017']
['416', 'CS101', 'L171', '8446', '001']
['416', 'M101', '5499', 'C847', '026']
['416', 'CS009', 'F937', '2938', '003']
['416', 'CS105', ['7368', '8394'], 'A123', '002']
['416', 'CS009', 'F937', '2938', '003']
['416', 'CS105', ['7368', '8394'], 'A123', '002']
['417', 'M101', '5499', 'C847', '026']
['417', 'CS003', '9483', 'U843', '005']
['417', 'M011', '9349', '???', '011']
['417', 'M102', '2377', 'R563', '002']
['417', 'CS008', '4389', 'U222', '030']
['417', 'M105', 'G253', '8231', '003']
['509', 'CS006', '7368', 'D459', '023']
['509', 'M007', 'Y734', ['4888', '5468'], '027']
['509', 'M106', '3874', 'C111', '004']
['509', 'M009', '3964', 'E880', '012']
['509', 'M010', '2798', 'H960', '011']
['509', 'M102', '6265', 'J153', '022']
['509', 'M008', 'F044', '9936', '007']
['510', 'M105', ['3314', '2163', '2368'], 'G117', '002']
['510', 'M001', '4389', 'K483', '003']
['510', 'CS003', 'B930', ['3040', '5757', '6348'], '011']
['510', 'M001', '0782', 'M169', '012']
['510', 'CS007', '4389', 'U222', '030']
['510', 'M010', '5663', 'Q695', '003']
['510', 'CS101', 'D651', '7577', '021']
['510', 'M008', '9745', 'B959', '028']
['510', 'CS003', '4642', 'T594', '027']
['511', 'M101', '2353', 'K852', '030']
['511', 'CS105', '8998', 'D602', '011']
['511', 'CS003', '3964', 'F911', '012']
['511', 'M009', '4389', 'F183', '015']
['511', 'CS007', 'K852', '2353', '030']
['511', 'M103', '8665', 'H738', '004']
['511', 'CS004', '3040', 'K639', '012']
['511', 'M103', 'K262', ['5757', '6245', '3689'], '009']
['511', 'CS004', '3040', 'K639', '012']
['511', 'CS101', 'Z652', '5095', '024']
['511', 'CS003', '8998', 'G376', '012']
['511', 'M103', 'Z652', '5095', '024']
['511', 'CS003', '8998', 'G376', '012']
['511', 'M103', ['5757', '6245', '3689'], 'K262', '009']
['511', 'M101', ['4888', '5468'], 'Y734', '027']
['511', 'M105', '2938', 'N482', '022']
['511', 'M104', '7368', 'D459', '023']
['512', 'CS007', '3040', 'K639', '012']
['512', 'CS102', '2938', 'F937', '003']
['512', 'CS001', '7126', 'F177', '012']
['512', 'M009', ['3314', '2163', '2368'], 'G117', '002']
['512', 'CS002', '3492', 'I291', '015']
['512', 'CS001', '3843', 'J942', '021']
['512', 'M010', ['4888', '5468'], 'Y734', '027']
['512', 'M002', '4389', 'U222', '030']
['512', 'CS009', '6245', 'G593', '004']
['512', 'M107', 'I206', '2163', '007']
['513', 'CS001', '2295', 'I021', '012']
['513', 'M106', '2353', 'K852', '030']
['513', 'M007', '2938', 'F937', '003']
['513', 'M101', 'U239', '1564', '016']
['513', 'CS002', '2938', 'J736', '002']
['513', 'M007', '5095', 'Z652', '024']
['513', 'CS002', '2938', 'J736', '002']
['513', 'M007', 'G253', '8231', '003']
['513', 'CS010', 'S458', '3654', '001']
['513', 'M011', ['3040', '5757', '6348'], 'B930', '011']
['513', 'CS101', '3964', 'E880', '012']
['513', 'CS005', ['5757', '6245', '3689'], 'K262', '009']
['513', 'CS003', '1564', 'U239', '016']
['513', 'M012', '5663', 'Q695', '003']
['513', 'CS010', 'F044', '9936', '007']
['513', 'M012', '5663', 'Q695', '003']
['513', 'M006', 'D106', '2938', '015']
['514', 'CS002', '2938', 'F937', '003']
['514', 'M102', '8998', 'D602', '011']
['514', 'M009', '2938', 'F937', '003']
['514', 'M102', '8998', 'D602', '011']
['514', 'CS010', 'G253', '8231', '003']
['514', 'M104', '3874', 'F028', '004']
['514', 'CS003', '7126', 'F177', '012']
['514', 'M103', '4389', 'F183', '015']
['514', 'M001', '8998', 'G376', '012']
['514', 'CS005', '5095', 'M024', '004']
['514', 'CS010', 'K852', '2353', '030']
['514', 'M104', '7368', 'D459', '023']
['514', 'CS005', 'D602', '8998', '011']
['514', 'M101', ['3492', '8665', '6949'], 'L769', '029']
['514', 'CS101', '2798', 'H960', '011']
['514', 'M009', 'L769', ['3492', '8665', '6949'], '029']
['514', 'M104', 'H660', '9464', '023']
['515', 'M011', '5095', 'Z652', '024']
['515', 'CS003', 'H738', '8665', '004']
['515', 'CS105', '3964', 'E880', '012']
['515', 'M010', '8231', 'G253', '003']
['515', 'M011', '8998', 'G376', '012']
['515', 'CS005', 'G378', '9318', '017']
['515', 'CS006', '5932', 'C912', '015']
['515', 'CS005', '7368', 'D459', '023']
['515', 'M006', '2798', 'H960', '011']
['515', 'CS101', '3654', 'S458', '001']
['516', 'CS005', '2938', 'J736', '002']
['516', 'CS110', '5499', 'B821', '001']
['516', 'M104', '3492', 'I291', '015']
['516', 'CS007', '???', '9349', '011']
['516', 'M101', '1564', 'U239', '016']
['516', 'CS001', '7126', 'F177', '012']
['516', 'M006', '8998', 'D602', '011']
['516', 'CS003', '2938', 'C215', '012']
['516', 'CS105', '8998', 'D602', '011']
['516', 'CS003', ['5757', '6245', '3689'], 'K262', '009']
['516', 'M106', '0782', 'M169', '012']
['516', 'CS003', '2377', 'R563', '002']
['516', 'M009', '8446', 'L171', '001']
['516', 'CS008', '2233', 'D041', '024']
['516', 'CS009', 'F044', '9936', '007']
['516', 'M010', '4642', 'T594', '027']
['516', 'M008', '9318', 'G378', '017']
['517', 'CS102', '3874', 'C111', '004']
['517', 'M103', '4389', 'K483', '003']
['517', 'M006', 'B708', '9483', '007']
['517', 'CS008', '6245', 'G593', '004']
['517', 'M002', '4498', 'Z000', '009']
['517', 'CS002', '9464', 'H660', '023']
